,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,32.0,34.0,4.0,3.431614403623299,734264
1,1a,-8.0,-70.0,-22.0,3.431614403623299,
2,1b,24.0,-12.0,12.0,3.2905267314919255,
3,1c,-26.0,36.0,4.0,3.2905267314919255,
4,2,-6.0,-10.0,-24.0,0.5950650344348742,8
5,3,-48.0,-8.0,-46.0,0.4146474594241502,8
6,4,-46.0,-10.0,-46.0,0.4146474594241502,8
7,5,46.0,42.0,-18.0,0.3448594989284943,568
8,5a,52.0,36.0,-16.0,0.256713434239723,
9,5b,46.0,48.0,-16.0,0.1939691983324474,
10,6,-44.0,-14.0,0.0,0.3199582233714994,1640
11,6a,-50.0,-26.0,-14.0,0.23681540499383552,
12,6b,-54.0,-20.0,0.0,0.22368810792185392,
13,6c,-46.0,-22.0,-10.0,0.2226601736863651,
14,7,-58.0,18.0,28.0,0.27853721683515803,16
15,8,46.0,26.0,-26.0,0.2329502986104576,448
16,9,24.0,-38.0,60.0,0.2105992469248261,8
17,10,-44.0,-70.0,30.0,0.18758753296535907,352
18,11,-68.0,-22.0,-22.0,0.18554702490891956,8
19,12,-40.0,-26.0,28.0,0.16823297541749205,8
20,13,14.0,-60.0,32.0,0.09942605041158488,16
21,14,-22.0,-48.0,50.0,0.06572094093465736,24
22,15,-40.0,-38.0,18.0,0.05818659283016712,16
23,16,-24.0,-52.0,44.0,0.045385548179409145,40
24,17,-24.0,-46.0,42.0,0.04463279759461039,24
25,18,-40.0,-32.0,16.0,0.03409675013052478,24
26,19,6.0,-6.0,62.0,0.027074892876565382,8
27,20,-22.0,-6.0,2.0,0.022812295734333802,8
28,21,10.0,-58.0,30.0,0.021809394804630428,24
29,22,32.0,-16.0,-8.0,0.021809394804630428,8
30,23,-46.0,-36.0,10.0,0.021307952628745325,8
31,24,52.0,-16.0,18.0,0.012533469508069276,8
32,25,50.0,-18.0,16.0,0.012533469508069276,24
33,26,20.0,-70.0,2.0,0.011530745575864969,32
34,27,-20.0,-6.0,8.0,0.010528033237178323,8
35,28,52.0,-16.0,30.0,0.00852263930681304,8
36,29,-24.0,-54.0,46.0,0.0005013256759256267,8
37,30,42.0,-54.0,-2.0,0.0002506628300880075,8
