,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,46.0,2.0,-14.0,3.890591886413094,830472
1,1a,56.0,4.0,-16.0,3.540083799206175,
2,1b,56.0,12.0,-14.0,3.540083799206175,
3,1c,46.0,12.0,-24.0,3.431614403623299,
4,2,2.0,-8.0,-18.0,0.39885506564233686,8
5,3,18.0,64.0,-6.0,0.256713434239723,3064
6,3a,2.0,68.0,-12.0,0.1934583777458237,
7,3b,24.0,68.0,0.0,0.16467474009465669,
8,3c,8.0,68.0,-18.0,0.10597775716289194,
9,4,-10.0,-40.0,42.0,0.14590042003299397,120
10,5,-8.0,-4.0,16.0,0.10496951317980473,8
11,6,4.0,2.0,10.0,0.05693120075862968,8
12,7,44.0,-24.0,-30.0,0.04789490494188339,32
13,8,-48.0,-74.0,-24.0,0.045385548179409145,8
14,9,-50.0,-72.0,-26.0,0.045385548179409145,8
15,10,38.0,-54.0,20.0,0.04036767606175351,24
16,11,-26.0,16.0,-40.0,0.039113371766186844,184
17,12,-60.0,-24.0,34.0,0.039113371766186844,64
18,13,-28.0,54.0,34.0,0.03510000177270885,8
19,14,-30.0,52.0,34.0,0.03434755978425286,8
20,15,36.0,-50.0,22.0,0.03133798202142648,8
21,16,32.0,-6.0,-10.0,0.02080651581056588,8
22,17,68.0,-26.0,2.0,0.019552946376962338,16
23,18,-30.0,30.0,24.0,0.019552946376962338,24
24,19,62.0,-46.0,-24.0,0.018299407668827677,16
25,20,8.0,-32.0,2.0,0.016795199001296408,8
26,21,-30.0,24.0,26.0,0.015291028334377801,16
27,22,46.0,-48.0,-20.0,0.015040336678635672,64
28,23,64.0,0.0,4.0,0.014789645968119595,16
29,24,48.0,-68.0,18.0,0.014538956187067702,8
30,25,-40.0,-52.0,-34.0,0.013786892263084142,8
31,26,-30.0,54.0,32.0,0.013285520672133197,8
32,27,20.0,-40.0,30.0,0.013034836136889385,8
33,28,20.0,-12.0,30.0,0.010778710290106092,16
34,29,16.0,-40.0,30.0,0.009274657580969943,16
35,30,14.0,-32.0,2.0,0.008021296494625931,8
36,31,46.0,-44.0,-18.0,0.0077706258524470675,8
37,32,40.0,-62.0,22.0,0.0077706258524470675,8
38,33,-26.0,-80.0,4.0,0.0077706258524470675,8
39,34,38.0,-64.0,22.0,0.0077706258524470675,8
40,35,8.0,-36.0,6.0,0.007519955698540524,8
41,36,38.0,-54.0,24.0,0.007018616792533281,24
42,37,42.0,-48.0,-18.0,0.00676794800892753,8
43,38,-12.0,-64.0,0.0,0.0065172796505839885,8
44,39,34.0,32.0,20.0,0.006266611701750335,8
45,40,-40.0,-64.0,50.0,0.0057652769696068034,8
46,41,8.0,-34.0,4.0,0.0057652769696068034,8
47,42,46.0,-42.0,-20.0,0.004762611726370971,8
48,43,40.0,-52.0,-18.0,0.004762611726370971,8
49,44,42.0,-42.0,-20.0,0.004762611726370971,8
50,45,-10.0,-64.0,4.0,0.0032586225240238283,16
51,46,-32.0,-36.0,48.0,0.003007958465459176,8
52,47,28.0,-6.0,-10.0,0.0025066308995717666,8
53,48,-24.0,-82.0,4.0,0.0020053039636734648,8
54,49,-38.0,-34.0,-22.0,0.0012533144654324165,8
55,50,42.0,-50.0,-14.0,0.0010026514778481883,8
56,51,4.0,-48.0,28.0,0.0010026514778481883,8
57,52,56.0,-50.0,-18.0,0.0007519885532624762,8
58,53,54.0,-48.0,-20.0,0.0007519885532624762,8
59,54,52.0,-46.0,-20.0,0.0007519885532624762,8
60,55,50.0,-48.0,-18.0,0.0007519885532624762,8
61,56,64.0,4.0,-2.0,0.0007519885532624762,8
62,57,-2.0,-84.0,8.0,0.0002506628300880075,8
63,58,-6.0,-60.0,4.0,0.0001253314140596531,8
