,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-4.0,44.0,26.0,,31552
1,2,-44.0,22.0,-6.0,,14856
2,3,-4.0,-54.0,22.0,,11992
3,4,44.0,14.0,-22.0,,9416
4,5,-48.0,-62.0,26.0,,6200
5,6,-42.0,-54.0,42.0,,232
