,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-12.0,-2.0,-44.0,9.250850992357568,24
1,2,-6.0,52.0,6.0,8.113513171607483,9096
2,2a,0.0,58.0,16.0,8.030382433606272,
3,2b,-2.0,56.0,4.0,7.783596946413844,
4,2c,-2.0,62.0,16.0,7.695304724069167,
5,3,-6.0,-56.0,36.0,7.933752081247728,3760
6,3a,-4.0,-58.0,20.0,7.72112995338235,
7,3b,6.0,-58.0,28.0,6.517355373882698,
8,3c,-4.0,-62.0,26.0,6.136230910951599,
9,4,-58.0,-10.0,-20.0,7.704275760658358,2344
10,4a,-62.0,-4.0,-24.0,7.640028591076378,
11,4b,-60.0,-14.0,-18.0,7.639146869566758,
12,4c,-62.0,-8.0,-30.0,6.942475679803652,
13,5,-48.0,-66.0,32.0,7.474985631198649,1680
14,5a,-46.0,-52.0,30.0,5.49416997249346,
15,5b,-52.0,-58.0,28.0,5.40055583620903,
16,5c,-44.0,-72.0,40.0,5.170762425829563,
17,6,44.0,-62.0,24.0,6.908362042846384,1192
18,6a,52.0,-60.0,26.0,5.323915032248917,
19,6b,48.0,-66.0,38.0,4.960899726464534,
20,6c,58.0,-64.0,26.0,4.732283489336225,
21,7,-10.0,42.0,40.0,6.75674916507218,1232
22,7a,-2.0,50.0,36.0,6.441007344971561,
23,7b,-8.0,52.0,28.0,5.581133659818768,
24,8,-24.0,-90.0,-34.0,6.648812243674849,368
25,9,-4.0,-36.0,32.0,6.591359889868928,776
26,10,-44.0,-2.0,-38.0,6.589596913472576,608
27,11,-48.0,32.0,-12.0,6.398933383290708,504
28,12,24.0,-86.0,-32.0,6.343917987904573,568
29,13,68.0,-10.0,-14.0,6.323864888683411,808
30,13a,64.0,-14.0,-20.0,5.679089975590546,
31,13b,68.0,-6.0,-16.0,5.417930640029307,
32,13c,62.0,-10.0,-20.0,5.388642627413644,
33,14,-46.0,10.0,-34.0,6.037891737722408,688
34,14a,-48.0,18.0,-32.0,5.854697068299752,
35,15,-26.0,26.0,38.0,5.971531694564099,400
36,16,-8.0,36.0,54.0,5.879201215253189,688
37,16a,-14.0,32.0,46.0,4.752888427754066,
38,17,-6.0,-46.0,6.0,5.871688498582113,72
39,18,-12.0,-40.0,44.0,5.808816479862551,80
40,19,-18.0,40.0,48.0,5.777584443077888,72
41,20,6.0,-24.0,38.0,5.769053531923977,160
42,21,42.0,-64.0,56.0,5.741587708814151,136
43,22,-28.0,18.0,48.0,5.619696113126152,176
44,22a,-28.0,20.0,40.0,4.531971290860696,
45,23,52.0,10.0,-40.0,5.5184525419833586,136
46,24,-32.0,20.0,-20.0,5.49416997249346,168
47,25,-18.0,36.0,20.0,5.377122657502527,40
48,26,48.0,8.0,-32.0,5.371584462412526,32
49,27,42.0,16.0,-26.0,5.358188487361381,216
50,27a,48.0,16.0,-32.0,5.073282298144564,
51,28,-26.0,44.0,20.0,5.3565867748751606,120
52,29,-18.0,-18.0,-22.0,5.245569663432424,16
53,30,60.0,-28.0,-16.0,5.240821260493092,96
54,31,12.0,-8.0,-40.0,5.216514644115825,96
55,32,12.0,50.0,32.0,5.186134580072604,48
56,33,42.0,-8.0,22.0,5.1657704948563845,16
57,34,48.0,2.0,-26.0,5.155828231995181,64
58,35,22.0,40.0,34.0,5.100533684790388,208
59,36,2.0,-64.0,-50.0,5.0790887611950355,168
60,37,-8.0,-40.0,42.0,5.012112648523467,24
61,38,48.0,-72.0,-42.0,4.959410146213466,8
62,39,-10.0,36.0,40.0,4.946791848522925,104
63,40,-22.0,28.0,20.0,4.8928634326701115,32
64,41,42.0,-72.0,-42.0,4.862859155156903,264
65,42,-24.0,-18.0,-22.0,4.854981280310031,8
66,43,20.0,-82.0,-28.0,4.816208491179508,8
67,44,8.0,32.0,10.0,4.8142501549318215,24
68,45,-58.0,-8.0,-38.0,4.803640627318998,8
69,46,-30.0,-40.0,-50.0,4.803640627318998,24
70,47,-18.0,32.0,22.0,4.746680806406944,40
71,48,46.0,-46.0,2.0,4.728244848753664,16
72,49,-6.0,-34.0,42.0,4.654136049072615,40
73,50,8.0,46.0,24.0,4.654136049072615,16
74,51,14.0,-84.0,-24.0,4.643090066324796,8
75,52,-14.0,46.0,-4.0,4.636743969642915,16
76,53,20.0,-88.0,-30.0,4.598922742874782,8
77,54,-14.0,-46.0,52.0,4.550017576643644,80
78,55,60.0,-20.0,-24.0,4.521321645511428,8
79,56,4.0,48.0,32.0,4.517711752367329,8
80,57,-24.0,22.0,56.0,4.514742067368804,48
81,58,0.0,38.0,30.0,4.484358400304064,56
82,59,-62.0,-54.0,-14.0,4.48402069702823,40
83,60,10.0,-6.0,-36.0,4.463732934912211,8
84,61,-12.0,0.0,-42.0,4.463732934912211,8
85,62,18.0,44.0,32.0,4.428562920316371,8
86,63,-18.0,52.0,4.0,4.428562920316371,8
87,64,-22.0,-90.0,-38.0,4.416404796392409,16
88,65,-24.0,18.0,-40.0,4.416404796392409,8
89,66,-22.0,18.0,-36.0,4.416404796392409,8
90,67,16.0,-82.0,-24.0,4.402937366500496,8
91,68,-8.0,-36.0,40.0,4.402614371691212,8
92,69,-58.0,-52.0,-16.0,4.400910815043749,16
93,70,2.0,48.0,2.0,4.380568895605995,8
94,71,-30.0,26.0,34.0,4.377560471279731,8
95,72,6.0,-30.0,48.0,4.3585735402217916,32
96,73,2.0,-6.0,16.0,4.357064708911514,8
97,74,34.0,-78.0,-36.0,4.357064708911514,8
98,75,14.0,70.0,-10.0,4.356499806363715,16
99,76,-6.0,44.0,44.0,4.355402244924046,8
100,77,48.0,22.0,-28.0,4.355386885725681,24
101,78,-2.0,50.0,18.0,4.355129136863572,16
102,79,-4.0,26.0,14.0,4.352427807798072,40
103,80,16.0,48.0,38.0,4.352427807798072,8
104,81,42.0,28.0,-20.0,4.352427807798072,16
105,82,-4.0,24.0,0.0,4.352427807798072,48
106,83,-14.0,-46.0,56.0,4.326319079522021,16
107,84,44.0,22.0,-30.0,4.315688772790041,8
108,85,-62.0,-52.0,-10.0,4.302878020828404,8
109,86,52.0,16.0,-30.0,4.295952779648224,8
110,87,-16.0,50.0,20.0,4.278452585225548,8
111,88,48.0,6.0,-34.0,4.278452585225548,16
112,89,-8.0,-48.0,10.0,4.277414087465754,24
113,90,4.0,-32.0,48.0,4.27580957185491,24
114,91,6.0,50.0,26.0,4.27458726863504,8
115,92,48.0,-68.0,-42.0,4.271294279408329,8
116,93,28.0,-26.0,34.0,4.271294279408329,16
117,94,22.0,44.0,44.0,4.254254750384306,8
118,95,40.0,24.0,-30.0,4.254113259706071,8
119,96,-56.0,-6.0,-40.0,4.2492739593452855,8
120,97,52.0,-72.0,-34.0,4.2492739593452855,8
121,98,10.0,40.0,-12.0,4.242199574355202,8
122,99,-44.0,6.0,-34.0,4.236324410925116,8
123,100,-14.0,-8.0,56.0,4.215339202215311,8
124,101,-24.0,38.0,22.0,4.2070461232534955,16
125,102,42.0,-4.0,-34.0,4.201632305560342,8
126,103,28.0,-86.0,-40.0,4.201632305560342,24
127,104,60.0,-18.0,-26.0,4.201632305560342,24
128,105,56.0,-10.0,-22.0,4.190660407531913,8
129,106,-60.0,-12.0,-34.0,4.18959780136081,8
130,107,18.0,-20.0,30.0,4.18959780136081,16
131,108,-14.0,-48.0,14.0,4.17811470631429,40
132,109,-60.0,2.0,-24.0,4.17811470631429,16
133,110,8.0,-34.0,48.0,4.175757593599345,32
134,111,-42.0,-76.0,44.0,4.159662709669556,8
135,112,54.0,12.0,-36.0,4.150411337783094,8
136,113,-62.0,-50.0,-14.0,4.149522663972326,8
137,114,2.0,50.0,24.0,4.14656019856701,8
138,115,-8.0,-44.0,0.0,4.136546144283292,16
139,116,-10.0,-58.0,16.0,4.1291877594043855,24
140,117,-10.0,-48.0,4.0,4.12727105273753,8
141,118,42.0,22.0,-26.0,4.1268599478256345,16
142,119,10.0,46.0,22.0,4.123355310570914,8
143,120,32.0,-46.0,20.0,4.111161840096228,8
144,121,10.0,50.0,24.0,4.106774066940154,8
145,122,42.0,-68.0,40.0,4.098126280021328,8
146,123,2.0,40.0,16.0,4.087680865505802,8
147,124,12.0,54.0,28.0,4.073898116478793,16
148,125,42.0,-66.0,38.0,4.069263385641301,8
149,126,22.0,-82.0,-30.0,4.065711190836186,8
150,127,18.0,-80.0,-26.0,4.065711190836186,8
151,128,-2.0,38.0,12.0,4.064425264097901,8
152,129,-10.0,-40.0,40.0,4.06035621516696,24
153,130,22.0,8.0,42.0,4.05549249165929,8
154,131,20.0,-86.0,-22.0,4.05549249165929,8
155,132,34.0,-82.0,-40.0,4.051538633429357,8
156,133,-18.0,30.0,18.0,4.051538633429357,8
157,134,14.0,-82.0,-22.0,4.0461017673077455,8
158,135,-36.0,-72.0,24.0,4.041591086857621,8
159,136,46.0,-66.0,46.0,4.041591086857621,8
160,137,-50.0,8.0,-26.0,4.041591086857621,24
161,138,-24.0,-24.0,-14.0,4.041335366382137,8
162,139,46.0,56.0,2.0,4.038406115481878,16
163,140,20.0,34.0,56.0,4.038406115481878,8
164,141,30.0,32.0,52.0,4.038406115481878,8
165,142,32.0,-48.0,22.0,4.035762032494917,8
166,143,10.0,-30.0,42.0,4.022955158365764,8
167,144,-2.0,30.0,0.0,4.022955158365764,16
168,145,-16.0,32.0,-10.0,4.020633854825581,8
169,146,16.0,34.0,10.0,4.020633854825581,8
170,147,4.0,-18.0,38.0,4.009263626236147,8
171,148,8.0,34.0,2.0,4.004446762189248,8
172,149,-2.0,48.0,16.0,3.9993041246147545,8
173,150,-4.0,-32.0,28.0,3.9993041246147545,8
174,151,50.0,-8.0,-14.0,3.9933319931330464,16
175,152,52.0,2.0,-28.0,3.9860642613135058,8
176,153,10.0,-54.0,26.0,3.9843149268064253,8
177,154,-12.0,-34.0,42.0,3.9803011001983575,8
178,155,40.0,54.0,2.0,3.977489226031395,8
179,156,-6.0,18.0,62.0,3.961734385499119,8
180,157,-24.0,18.0,52.0,3.961734385499119,8
181,158,-24.0,-78.0,-32.0,3.9582969150581757,8
182,159,-26.0,20.0,-40.0,3.9555413424507804,8
183,160,-38.0,-72.0,22.0,3.9496705455607883,8
184,161,-18.0,6.0,-46.0,3.9442700013727627,16
185,162,14.0,-2.0,-40.0,3.9442700013727627,8
186,163,-32.0,-38.0,-52.0,3.9442700013727627,8
187,164,-8.0,-70.0,32.0,3.942733048825987,8
188,165,6.0,-34.0,50.0,3.9373562017958825,8
189,166,-16.0,30.0,24.0,3.9321756082948642,8
190,167,0.0,-68.0,26.0,3.9316562027390938,8
191,168,6.0,34.0,-6.0,3.9290007009783374,8
192,169,-22.0,-20.0,-22.0,3.924925365890581,8
193,170,-48.0,-58.0,24.0,3.917311182698615,8
194,171,-14.0,48.0,20.0,3.9161517843261877,8
195,172,12.0,48.0,24.0,3.9161517843261877,8
196,173,-40.0,-58.0,24.0,3.915331545770085,8
197,174,20.0,38.0,40.0,3.9137614979942734,8
198,175,22.0,36.0,36.0,3.9137614979942734,8
199,176,-32.0,20.0,-16.0,3.9061511474064035,8
200,177,10.0,44.0,24.0,3.8959849363914687,8
201,178,44.0,52.0,2.0,3.8959849363914687,8
202,179,14.0,42.0,-4.0,3.8959849363914687,8
203,180,-14.0,48.0,16.0,3.895122366186371,8
204,181,-6.0,-70.0,-46.0,3.8932770075276646,16
205,182,44.0,-66.0,40.0,3.888180591687014,8
206,183,10.0,42.0,22.0,3.8842471728704044,8
207,184,66.0,-6.0,-20.0,3.8807709875002327,8
208,185,-12.0,-36.0,46.0,3.8807709875002327,8
209,186,34.0,30.0,50.0,3.8807709875002327,8
210,187,-26.0,62.0,0.0,3.8807709875002327,8
211,188,-30.0,22.0,42.0,3.8783250494747583,8
212,189,-18.0,58.0,22.0,3.8742652567151623,8
213,190,-46.0,6.0,-32.0,3.8742652567151623,8
214,191,10.0,54.0,22.0,3.8690009343167575,8
215,192,40.0,24.0,-26.0,3.8667592284774788,8
216,193,-24.0,-90.0,-26.0,3.8667592284774788,8
217,194,60.0,-4.0,-16.0,3.8612758125626243,8
218,195,-4.0,-42.0,4.0,3.855476689635062,8
219,196,48.0,10.0,-36.0,3.855476689635062,8
220,197,10.0,30.0,10.0,3.855476689635062,8
221,198,20.0,8.0,44.0,3.8540024904638734,8
222,199,40.0,-60.0,56.0,3.853836426165326,8
223,200,-44.0,-62.0,28.0,3.8525086910271225,8
224,201,-2.0,42.0,32.0,3.847914401402881,8
225,202,-2.0,-48.0,36.0,3.8298273789849926,8
226,203,-4.0,28.0,16.0,3.8260311369045605,8
227,204,16.0,70.0,-6.0,3.8258394424423825,8
228,205,48.0,-20.0,-30.0,3.8258394424423825,8
229,206,20.0,-16.0,30.0,3.8258394424423825,8
230,207,-48.0,-76.0,-34.0,3.8253586613363764,8
231,208,-54.0,-4.0,-42.0,3.8253586613363764,8
232,209,-46.0,-78.0,-34.0,3.8253586613363764,8
233,210,-28.0,18.0,-42.0,3.8253586613363764,8
234,211,50.0,-74.0,-36.0,3.8253586613363764,8
235,212,-32.0,-42.0,-50.0,3.8253586613363764,8
236,213,2.0,-46.0,38.0,3.823749277356029,8
237,214,-40.0,12.0,16.0,3.823749277356029,8
238,215,38.0,-76.0,-38.0,3.8230223795222043,8
239,216,-44.0,20.0,-30.0,3.822114183180682,8
240,217,-22.0,34.0,22.0,3.822114183180682,8
241,218,0.0,-50.0,50.0,3.8127017417535054,8
242,219,12.0,-54.0,28.0,3.808825004830415,8
243,220,-22.0,-24.0,-16.0,3.808347806970237,8
244,221,42.0,-20.0,-10.0,3.805677793095875,8
245,222,42.0,-20.0,-16.0,3.805677793095875,8
246,223,2.0,54.0,-4.0,3.7979068276577497,8
247,224,-8.0,-50.0,4.0,3.7950631425033627,8
248,225,8.0,42.0,24.0,3.7939791985250926,8
249,226,-18.0,36.0,44.0,3.7939791985250926,8
250,227,-18.0,60.0,20.0,3.7925081065544255,8
251,228,-4.0,-46.0,4.0,3.7925081065544255,8
252,229,0.0,38.0,52.0,3.7925081065544255,8
253,230,46.0,-72.0,40.0,3.7917261180707387,8
254,231,48.0,-16.0,-24.0,3.7906760609012853,8
255,232,-62.0,-52.0,-16.0,3.7906760609012853,8
256,233,-44.0,-72.0,28.0,3.7870102083183395,8
257,234,6.0,36.0,-8.0,3.781996386831732,8
258,235,0.0,50.0,16.0,3.7813137546095863,8
259,236,22.0,30.0,56.0,3.7811630951555673,8
260,237,-30.0,24.0,-24.0,3.7811630951555673,8
261,238,48.0,54.0,0.0,3.7811630951555673,8
262,239,-26.0,22.0,62.0,3.780194291499298,8
263,240,28.0,44.0,46.0,3.780194291499298,8
264,241,34.0,-84.0,-34.0,3.780194291499298,8
265,242,50.0,-70.0,38.0,3.774736850515659,8
266,243,-24.0,20.0,42.0,3.77247417263447,8
267,244,-4.0,-48.0,50.0,3.77247417263447,8
